"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"OpenAI is doing creative naming now, it seems :D","12","0","26","0","2225","2026-06-26T20:21:00.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070603253516013851"
"Are vibe coders still stuck on: - npm install - npm run dev - localhost:3000 or what step is actually tripping them up?","48","1","62","3","5767","2026-06-26T19:06:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070584585285496868"
"Drop your project URL I'll rate it out of 10","263","1","140","31","16088","2026-06-26T16:15:07.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070541377214013512"
"Founders, which is the best place to buy a domain? - GoDaddy - Hostinger - Cloudflare - Namecheap - Others","289","13","178","42","135339","2026-06-26T14:08:32.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070509520946610503"
"seriously, why isn’t google leading the ai race yet with all its resources?","154","3","110","7","10138","2026-06-26T12:00:32.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070477309971210304"
"are you a founder, or just the person who prompted claude well?","35","0","28","2","2983","2026-06-26T09:30:32.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070439558685106453"
"","1","0","9","2","822","2026-06-26T06:39:34.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070396532445077797"
"7.7k followers sin 86 days Follower growth has slowed down a bit, but we just keep going!!","64","2","88","2","2754","2026-06-26T06:10:33.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070389233882161312"
"Hard truth about X To win you NEED to show up EVERY day even a small break will penalize your growth","113","5","126","1","3662","2026-06-26T01:01:20.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070311416624447972"
"","2","0","4","0","418","2026-06-26T00:37:13.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070305343687573761"
"Everyone can ship with ai. The tool is cheap now. So what still separates winners?","112","3","85","1","5640","2026-06-25T21:30:41.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070258401125236762"
"","1","0","7","6","843","2026-06-25T19:25:31.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070226903550640221"
"I use climbx daily to win on X Recently people have been asking how i use it, so i made a YouTube video about it","26","1","55","3","2343","2026-06-25T19:18:08.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070225045247463906"
"More than 7k in 86 days. Still doesn’t feel real. To everyone who kept showing up, THANK YOU!","132","1","229","1","5974","2026-06-25T17:02:07.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070190815637275119"
"What's coming after artificial intelligence?","444","21","170","3","26216","2026-06-25T14:24:25.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070151128881201660"
"be honest. would you still build this if it paid nothing for a year?","121","1","90","0","6636","2026-06-25T12:06:25.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070116402325774500"
"X is still a real opportunity. But it is not easy money. Most people quit before posts compound. It’s valuable if you can outwork the noise.","155","6","230","6","6769","2026-06-25T09:42:26.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070080165409857959"
"Do we actually know how AI works?","55","1","54","1","2923","2026-06-25T06:07:28.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2070026067914465727"
"Why do they not just use Claude code?","85","5","128","3","12048","2026-06-25T01:14:28.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069952331135791561"
"When is the last time you went viral on X? 38 days here..","154","0","113","1","6014","2026-06-24T21:13:50.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069891774462476526"
"7.5k followers on day 85 Funny how I never seem to get more than two amazing days in a row!?","69","3","106","3","2969","2026-06-24T18:42:03.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069853576168431972"
"If you’re building in public, let’s connect!","169","0","197","4","8708","2026-06-24T16:18:28.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069817443636092961"
"Sneak peek:","6","0","11","0","745","2026-06-24T14:17:37.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069787029827657766"
"Oops!...I Did It Again Bought another domain!!","52","1","89","3","4298","2026-06-24T14:08:25.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069784715310035236"
"Might buy a new laptop. Is a MacBook worth it, or just paying extra for the logo?","358","14","252","9","46004","2026-06-24T12:12:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2069755577996087554"
